name,ingredients,diet,flavor,course,state,region,style,category,source
Mahim halwa,"semolina, sugar",vegetarian,sweet,dessert,maharashtra,west,,,indian_food
Modak,"rice flour, coconut, jaggery",vegetarian,sweet,dessert,maharashtra,west,,,indian_food
Shankarpali,"sugar, ghee, maida flour, semolina",vegetarian,sweet,dessert,maharashtra,west,,,indian_food
Shrikhand,"curd, sugar, saffron, cardamom",vegetarian,sweet,dessert,maharashtra,west,,,indian_food
Sutar feni,"maida, sugar, ghee",vegetarian,sweet,dessert,maharashtra,west,,,indian_food
Maach Jhol,"fish, potol, tomato, chillies, ginger, garlic",non vegetarian,spicy,main course,assam,north east,,,indian_food
Pork Bharta,"boiled pork, onions, chillies, ginger and garlic",non vegetarian,spicy,main course,tripura,north east,,,indian_food
Chak Hao Kheer,"rice, milk, sugar, cardamom",vegetarian,sweet,dessert,manipur,north east,,,indian_food
Galho,"rice, axone, salt, water, chillies, pork",non vegetarian,spicy,main course,nagaland,north east,,,indian_food
Aloo gobi,"cauliflower, potato, garam masala, turmeric, curry leaves",vegetarian,spicy,main course,punjab,north,,,indian_food
Aloo tikki,"rice flour, potato, bread crumbs, garam masala, salt",vegetarian,spicy,main course,punjab,north,chaat,,indian_food
Aloo matar,"potato, peas, chillies, ginger, garam masala, garlic",vegetarian,spicy,main course,punjab,north,,,indian_food
Aloo methi,"potato, fenugreek leaves, chillies, salt, oil",vegetarian,bitter,main course,punjab,north,,,indian_food
Aloo shimla mirch,"potato, shimla mirch, garam masala, amchur powder, salt",vegetarian,spicy,main course,punjab,north,,,indian_food
Bhatura,"chole, rava, yogurt, plain flour, baking soda",vegetarian,spicy,main course,punjab,north,,,indian_food
Bhindi masala,"ladies finger, garam masala, kasuri methi, tomatoes, chili powder",vegetarian,spicy,main course,punjab,north,,,indian_food
Biryani,"chicken thighs, basmati rice, star anise, sweet, green chillies",non vegetarian,spicy,main course,telangana,south,,,indian_food
Butter chicken,"chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter",non vegetarian,spicy,main course,nct of delhi,north,,,indian_food
Chana masala,"chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil",vegetarian,spicy,main course,punjab,north,,,indian_food
Chapati,"whole wheat flour, olive oil, hot water, all purpose flour",vegetarian,,main course,maharashtra,west,,,indian_food
Chicken razala,"chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron",non vegetarian,spicy,main course,west bengal,east,,,indian_food
